region;sexo;originario_p;extranjero_p;pobreza_p;pobreza_multi_p;inactivos_p;desocupados_p;independientes_p;trabajo_familiar_no_remunerado_p;trabajo_servicio_domestico_p;trabajo_empleador_p;trabajo_domestico_p;fonasa_p;isapre_p;estudios_basica_o_menos_p;estudios_sin_media_o_menos_p;estudios_superiores_p;estudios_superiores_incompletos_p;ingreso_ocup_princ_menor_mediana_p;ingreso_ocup_princ_menor_2medianas_p;ingreso_ytrabajocor_menor_mediana_p;ingreso_ytrabajocor_menor_2medianas_p;pension_menor_mediana_p;pension_menor_salario_minimo_p;hacinamiento_p;men18c_p;rural_p;may60c_p;vivienda_propia_p;vivienda_arrendada_p;vivienda_pequeña_p;sector_malo_p;sector_dañado_p;ingreso_percapita_hogar_menor_mediana_p;ingreso_total_hogar_menor_mediana_p;ingreso_trabajo_hogar_menor_mediana_p;carencia_estado_vivienda_p;carencia_servicios_basicos_p
Región del Libertador Gral. Bernardo O'Higgins;Masculino;0,0480944150906128;0,0510197027307293;0,0654604710878475;0,1532250259246457;0,230250358007012;0,0472233469952101;0,0917465804157819;0,001898177867759617;0,001064638783269962;0,02086613006765098;0,004023505012098168;0,824387931460175;0,1194508913140092;0,2135934027949237;0,298154165226409;0,151275492568268;0,0776317218902770;0,303508962520369;0,462884795812552;0,274092143597847;0,464135104439287;0,01070959458792158;0,0242180633055158;0,302038703593612;0,313979828211804;0,2761474754515078;0,399105184395564;0,585304729300342;0,213853754535577;0,0551187962526393;0,04118406756729055;0,0461142658002091;0,494480432955454;0,528407576720444;0,533460773661876;0,1100172198191919;0,0595467497591275
Región del Libertador Gral. Bernardo O'Higgins;Femenino;0,0527403669616100;0,0479233542202165;0,0749499543963138;0,1480066648504160;0,437266305785548;0,0409485566729446;0,0556700583174411;0,001300988277286206;0,020507839490818063;0,00863706178016259;0,026049378328970384;0,859998657553826;0,1031867303144088;0,2231283733895581;0,303211210215226;0,172989982982521;0,0720380307104304;0,223600203735949;0,303578408727479;0,217124875132764;0,314681228259282;0,02304071955114917;0,0289672245715030;0,321034122122490;0,458298376067394;0,2133063635632276;0,409166657089334;0,628029789336980;0,187413085701808;0,0383629656020503;0,03830550160324556;0,0696693521508775;0,626162209375826;0,611462918481571;0,635936835572514;0,1075323809633265;0,0418050591304548
Región del Maule;Masculino;0,0293526032145067;0,0461144381312352;0,0781413896386192;0,1487163304486100;0,231488908594407;0,0451536472152048;0,1248428798341446;0,002526263087470758;0,000477751079347226;0,01567235090552340;0,003428877672805739;0,879354630571485;0,0670226587993463;0,2465125052667209;0,333419128730116;0,121177771000333;0,0739209612845334;0,354463094169850;0,472104449431547;0,330764172547471;0,485442695432805;0,01326067756033150;0,0236125385858921;0,302548183759760;0,330321397999153;0,2930713958374765;0,388271610275743;0,640206310364804;0,197049744489888;0,0393208878435984;0,02820554945482529;0,0518542857389906;0,595654166414471;0,633876922810871;0,597020345695238;0,1008421889996628;0,0494548252933394
Región del Maule;Femenino;0,0338770325117070;0,0370656187298911;0,0943719757192552;0,1452672391422703;0,453591654045180;0,0350269588180521;0,0607849688688830;0,001824956792960687;0,015683434446568285;0,00753049085571139;0,026948641713152748;0,912992301599551;0,0477728234082934;0,2445476023697301;0,325780228390968;0,152151532471850;0,0848214815731942;0,234072757431696;0,300132462012575;0,237074777434986;0,320376592385046;0,02525597732711672;0,0290788886759396;0,261934682954378;0,441406468615969;0,2014459498649192;0,393143694447695;0,671679835562633;0,176118932174674;0,0410075858946115;0,02257452340128925;0,0756452589430625;0,694167866537098;0,706017329012104;0,698416171031142;0,1035568738584272;0,0279421416542440
Región del Biobío;Masculino;0,0820092084639498;0,0268000587774295;0,0727003330721003;0,1448618730407523;0,260064410266458;0,0464978448275862;0,0962970219435737;0,001234326018808777;0,000334296630094044;0,01623971394984326;0,001389841300940439;0,846396208855799;0,1081553683385580;0,1638763714733542;0,250789821708464;0,174213851880878;0,1101550254702194;0,252893563871473;0,404770768025078;0,239668642241379;0,414227811520376;0,00822149294670846;0,0206970023510972;0,329108987456959;0,357001669961034;0,1341802024619426;0,386424316765942;0,642298346371918;0,197798718029913;0,0437689787238298;0,02797601389300916;0,0696583746379251;0,538170776015226;0,510391424200102;0,521041175705900;0,1115773965274144;0,0606719176552547
Región del Biobío;Femenino;0,0815532583351613;0,0226955935382262;0,0775747109227839;0,1356686988826874;0,454532793420773;0,0395788867727226;0,0599637195472255;0,000986512631423793;0,016482885166447893;0,00928134295705420;0,023468555200024142;0,883605436729142;0,0821718597852188;0,1853076932897411;0,263042567439744;0,206011691915587;0,1023698354612991;0,210309405179307;0,281479908219507;0,216314365596939;0,303363079590678;0,01804969934576803;0,0263897931921344;0,300829401917516;0,447572667782681;0,0843893969369544;0,401149679722195;0,648662857459083;0,190516871653685;0,0292815539353357;0,02557034352042722;0,0789384485549453;0,628823618931669;0,612474232509235;0,647023422476169;0,1230544679791370;0,0522128913545745
Región de La Araucanía;Masculino;0,3285637235317619;0,0159168997203356;0,1139332800639233;0,1980063923292049;0,265952856572113;0,0499061126648022;0,1513244107071514;0,001895725129844187;0,000305633240111866;0,01639232920495405;0,001937674790251698;0,885397522972433;0,0640831002796644;0,2185557331202557;0,308773471833799;0,134672393128246;0,0822273272073512;0,304123052337195;0,416624051138634;0,301008789452657;0,449516580103875;0,01237914502596884;0,0202457051538154;0,292825389983027;0,332543039577552;0,3076272328043754;0,419198749898968;0,645989708219953;0,162313764582267;0,0701511436807932;0,06343185063448016;0,0458011153918690;0,634825012797370;0,647293692916992;0,638833957485788;0,1562518522509901;0,1386965541396126
Región de La Araucanía;Femenino;0,3297665795936721;0,0154654594577086;0,1172665557772075;0,1897829272149788;0,466577878886609;0,0416178429142207;0,0738367562356268;0,001000291513526799;0,020762241186479107;0,00790897156695189;0,028309202491392731;0,911699981137360;0,0506814366853578;0,2254066423167133;0,302137575331478;0,153985828250900;0,0925107698052956;0,207254685651247;0,270019643820008;0,231050191770173;0,312378655112823;0,01675154854652880;0,0224503521978786;0,305199528317482;0,477760389689108;0,2394284706686210;0,389501757788823;0,653462127640816;0,171613088087812;0,0762406462491321;0,05802356208466040;0,0486450148227333;0,694546997432196;0,692882883875731;0,702658173442511;0,1592148910611755;0,1152922117281434
Región de Los Lagos;Masculino;0,2647400926516932;0,0308490551350967;0,0662884389991126;0,2016920165198458;0,237333784063286;0,0319944133208493;0,1448978184818555;0,001274349981429629;0,000502623203844845;0,02562488741017834;0,002848939487279852;0,823966230837490;0,1137729877835874;0,2488340698468334;0,336726410625366;0,140968016706662;0,0730671802615865;0,313490095431689;0,459804599669514;0,289488725449859;0,470083911387084;0,01199846099443778;0,0206520312871824;0,260894026483229;0,337379865553822;0,3143940931843096;0,384233024574998;0,627796370301199;0,188845259293201;0,0421956835700738;0,01917511063679232;0,0633370260598222;0,524786701544565;0,540968963697212;0,532924233372581;0,0945879323245037;0,1751570375440082
Región de Los Lagos;Femenino;0,2800877150536452;0,0278123584088120;0,0732095175672050;0,1862801163082256;0,438306932304566;0,0339071029838075;0,0651660383500420;0,001396666476045520;0,020560690107202399;0,01441975656213296;0,027970720591922647;0,882358892696424;0,0828652117874252;0,2515583278713043;0,322471593783405;0,159631280050324;0,0820580045485138;0,230201427899018;0,305476252270958;0,236496324677667;0,334944815178135;0,01992944084952513;0,0234705952218610;0,292540192926045;0,462752411575563;0,2072282958199357;0,405588424437299;0,635183279742765;0,196508038585209;0,0373569131832797;0,02721543408360129;0,0871318327974277;0,621536977491961;0,599903536977492;0,615118971061093;0,1216463022508039;0,1272282958199357
Región de Aysén del Gral. Carlos Ibáñez del Campo;Masculino;0,3101290216014829;0,0229412520417714;0,0307412777359737;0,1408409345348432;0,194248169288087;0,0241892561528438;0,1714353882577496;0,002569420228678400;0,000000000000000000;0,02886927156936517;0,002991539266246995;0,858645181419421;0,0576651311321967;0,1996255987666783;0,289169893736121;0,165874428762824;0,0781103749518234;0,256097784792703;0,442894635417623;0,218896250481766;0,431552480408171;0,01350780920219502;0,0205370088277938;0,254773648483665;0,308345949113640;0,2527714020608487;0,338867998241930;0,580260780387752;0,240709088245348;0,0398495873418958;0,02558968598915857;0,0288128143771060;0,316208428969087;0,416613761781511;0,430238804512380;0,0585534990477121;0,0526444303364751
Región de Aysén del Gral. Carlos Ibáñez del Campo;Femenino;0,3356846937632964;0,0264061508602993;0,0495838465270780;0,1375732467435524;0,313943940581495;0,0327137685216288;0,0942037099242339;0,006307617661329452;0,026854029037435150;0,01853095957899452;0,036427425073713285;0,891520173179562;0,0651289515918337;0,1929048632105401;0,259396110924495;0,197682230433322;0,0850781920650916;0,250195946702497;0,356772291270108;0,235527936401299;0,367316090023514;0,02116224386966745;0,0257529951853096;0,283102547676539;0,547331592174642;0,1594638545311191;0,285122948800079;0,594835657615927;0,263194204898241;0,0355294929285961;0,00827871679889617;0,0475533435174691;0,462721135366875;0,455575814320209;0,497807125609816;0,0693342531907554;0,0291726211008722
Región de Magallanes y de la Antártica Chilena;Masculino;0,2156864868376883;0,0452315722221621;0,0309268303247534;0,0698236001169502;0,206579531549482;0,0134167866850033;0,1125212513671262;0,002458119917268563;0,000303204218870131;0,03224793442125895;0,002230716753115965;0,742330557570901;0,1386617865225725;0,1439137167422873;0,222562725372779;0,196552134882563;0,0818001667623204;0,195360975451287;0,449803458693840;0,182236564263051;0,438931421702925;0,01247468786208540;0,0264329106522139;0,248922796167689;0,301693110964668;0,1045014447204339;0,349191463476454;0,541668778831044;0,283621432554367;0,0266893090687890;0,00179956404927257;0,0131799057129822;0,259745526435849;0,364551122826583;0,419450499315659;0,0370304658589750;0,0390581436609723
Región de Magallanes y de la Antártica Chilena;Femenino;0,2262930792939199;0,0593891846455590;0,0381059120201737;0,0649593723732138;0,379927150462314;0,0266741384141216;0,0699131409358364;0,001636312692630989;0,022280750910619221;0,00689268702717848;0,034586718968898852;0,812485289997198;0,1065732698234800;0,1454525077052396;0,216138974502662;0,226181003082096;0,0856150182123844;0,200515550574391;0,331678341272065;0,190215746707761;0,335051835247969;0,03055197534323340;0,0378593443541608;0,284887757463550;0,443548120474758;0,0711144906932919;0,381955235229940;0,592587694647403;0,242900122326181;0,0211921843488610;0,00462855820411942;0,0152411809435647;0,416834727410983;0,445895460706847;0,507488345951665;0,0385823387443383;0,0189109663768308
Región Metropolitana de Santiago;Masculino;0,0612921831638271;0,1287262563431321;0,0411094679439998;0,1696041380622884;0,189018540492147;0,0450180316821608;0,1307860143282446;0,000956446253546619;0,000762243968562534;0,02581579524864690;0,002414177155208408;0,679801942799659;0,2504823499253292;0,1044626228572205;0,186609218394064;0,249848764970569;0,1259853338434380;0,250793073581304;0,435947474107980;0,219879953857537;0,421999380494711;0,00804191662119096;0,0161741373048995;0,359570257617449;0,352765318403291;0,0383470386452684;0,320708938408275;0,521944404680483;0,361634669932613;0,0403465031572585;0,04174884551966195;0,1844113343194796;0,357169177098079;0,349623965474278;0,354031137832493;0,0870075233414452;0,0258644685148956
Región Metropolitana de Santiago;Femenino;0,0669840959436041;0,1294910673474396;0,0471404547420023;0,1665483209062374;0,334262616520340;0,0449153012999206;0,0905477968939934;0,001771389216264694;0,024135890044764127;0,01492794119671296;0,035699995395906917;0,730093586498331;0,2156989131967073;0,1262140922271043;0,204387795640921;0,250050668756387;0,1078646453590504;0,233483765350735;0,347204152607175;0,212899672065164;0,346450885006367;0,02037145063581576;0,0270625743715294;0,360616772261413;0,445983566748786;0,0270605670301928;0,372601892255887;0,538004189501852;0,312607226486586;0,0396246641308253;0,05179346975542626;0,2138879561740781;0,479849319003895;0,423716459922367;0,469258740313338;0,1133817920517024;0,0223479285036748
Región de Los Ríos;Masculino;0,2311616426060289;0,0145311292293116;0,0555264667015733;0,1815044755279627;0,242491335677064;0,0352157977410427;0,1568753584162366;0,001670531328695739;0,000393946193931234;0,02022090906824245;0,007908843842720722;0,865090881890942;0,0955593786620789;0,2004188794973446;0,294522153240083;0,140967910838507;0,1001820131149176;0,313556237065849;0,447667489465679;0,290163811803426;0,458752836163263;0,00835265664347869;0,0208043483681153;0,293740127610353;0,351214537132623;0,3222347980746508;0,382420616658997;0,586323553189637;0,181962910909068;0,0599992537406251;0,02577082374597331;0,0362184549943409;0,528065571323740;0,541423614134153;0,538625141478340;0,1174487879503986;0,1379833584159401
Región de Los Ríos;Femenino;0,2578830333454219;0,0145158519593060;0,0615325151266439;0,1835954648699204;0,411831230554866;0,0408467103128400;0,0764969174094787;0,001803744918020271;0,030215113282815752;0,00963428833196541;0,034729247389818863;0,912823767440973;0,0635080452749518;0,2104893970338417;0,293089461930484;0,173627149701285;0,0895478230993873;0,232401557519421;0,308225649443607;0,246001221583860;0,343541829703575;0,01768910690767498;0,0238686033860778;0,282737393967955;0,450061852026390;0,2220487747408106;0,412022855796418;0,602821630537229;0,193523209236569;0,0427809849198869;0,03192742695570217;0,0465215598491989;0,631450282752121;0,610332233741753;0,625338713477851;0,1565298067860509;0,1019969368520264
Región de Arica y Parinacota;Masculino;0,3020677647493875;0,1075021956518390;0,0853838923899478;0,1857675536586493;0,222431087348423;0,0476417928845472;0,1236806828862421;0,003320441903822745;0,000824332444800542;0,02181784564182370;0,002172539714334140;0,825172185328423;0,0924870186900048;0,0930108935147378;0,166076023481919;0,172709203248024;0,1027796181877013;0,263231691345280;0,424022742330627;0,248740389208179;0,415047533936303;0,01134805318870279;0,0238671206915148;0,366458318702156;0,326521057190346;0,0882786712550039;0,366903106491561;0,470070463749795;0,278109417796194;0,0952079968162558;0,04478310742795608;0,1204204415104057;0,453168527752417;0,474541751527495;0,507198539223260;0,1081536624762975;0,0653838050424889
Región de Arica y Parinacota;Femenino;0,3166196260662103;0,1206006642860484;0,0978808339440815;0,1815481295513730;0,386938826427981;0,0449406664691481;0,1034633317219978;0,003461772365076642;0,011765347970496966;0,01329351775327855;0,020786227759671910;0,872312058507072;0,0649160286297931;0,1347050476383539;0,219346941321399;0,197601709055186;0,0967113162531772;0,256007422538945;0,336205148996554;0,252810740850473;0,347697609505840;0,01709055185641441;0,0225015203729982;0,462556766575840;0,524364214350590;0,0603542234332425;0,353792007266122;0,507402361489555;0,245367847411444;0,1269073569482289;0,04972752043596730;0,1463896457765668;0,620958219800182;0,532992733878292;0,554654859218892;0,1084922797456857;0,0631925522252498
Región de Ñuble;Masculino;0,0283115470152478;0,0222036447416841;0,1179581126701973;0,1549175213196589;0,286107422281243;0,0426073182829075;0,1222460440632950;0,001087982592278523;0,000159997440040959;0,02805155117518120;0,000939984960240636;0,890085758627862;0,0577550759187853;0,2528639541767332;0,335846626453977;0,127457960672629;0,0643149709604646;0,329546727252364;0,433973056431097;0,314658965456553;0,446524855602310;0,00943584902641558;0,0193356906289499;0,255956948527580;0,300443470028402;0,3361004534356470;0,434580696596741;0,658408490707061;0,162559170860531;0,0514823857690966;0,03207932632418158;0,0380288006377996;0,624914046539439;0,658837012307539;0,653894065474114;0,0727888783696248;0,0718321789825103
Región de Ñuble;Femenino;0,0292601921821065;0,0203451814534938;0,1236010821905029;0,1479429051217464;0,508297415803713;0,0403059986939080;0,0537176975464129;0,000686631215598470;0,018445750536430636;0,01352738128556768;0,025192648567963428;0,914327829088534;0,0439182759585782;0,2554790558820785;0,326537923313742;0,154951021550518;0,0694281182946170;0,204235469726654;0,260445937121000;0,214184158970053;0,287870137139659;0,02138632335105887;0,0276630282675623;0,244800171895144;0,438902019767942;0,2412440911044263;0,437172324881822;0,670401804899012;0,165749892565535;0,0509239363987967;0,01943489471422432;0,0502148689299527;0,727320584443489;0,740438332617104;0,736388053287495;0,0975504941985389;0,0625805758487323
